"","p","in_rse","in_r2","in_r2_adj","out_rse","out_r2","out_r2_adj"
"1",1,0.109280300019294,0.0216362572104844,0.0196716713815898,0.117480551681576,0.00613945032838592,0.00547599201752369
"2",6,0.108861050909707,0.0388764602486247,0.0271792163571273,0.116457668370363,0.0266306354074624,0.022718903198785
"3",11,0.108252781491447,0.059226230560746,0.0380202644463367,0.116600833223051,0.027503777408955,0.0203146252258223
"4",16,0.107683451898406,0.0786337111425901,0.0481122605800258,0.116577667291567,0.0311566628510637,0.0207038689236306
"5",21,0.106529385202263,0.107611453494967,0.0684060989413982,0.117363570181869,0.0213604960203693,0.00745560455651795
"6",26,0.105932077853105,0.126820818705913,0.0788236544064491,0.117893158420393,0.0158492299147746,-0.00152206677376299
"7",31,0.104692110588108,0.156158241215107,0.100262740099014,0.119032813458821,0.000135527622891374,-0.0209787766303038
"8",36,0.104492210725184,0.16835864778,0.103695389292052,0.119632928406654,-0.00653174705247328,-0.031299445544537
"9",41,0.103692655033472,0.189881188223689,0.117359635204412,0.120870126556285,-0.0239462546145766,-0.0527403536812416
"10",46,0.103907691293422,0.195398491311895,0.1136950268535,0.120770175818083,-0.0187478273149304,-0.0509999952822302
"11",51,0.104185244171405,0.200022648812181,0.108953798565354,0.120692857402114,-0.0139426342563369,-0.0496547021755864
"12",56,0.103409123210651,0.220692801950953,0.122179928156942,0.122110112090498,-0.0343113133051216,-0.0744509068914603
"13",61,0.102723751998053,0.239668282553459,0.133777335603142,0.121472813150569,-0.0199966579011963,-0.0632649445020119
"14",66,0.102101489497678,0.257426747857602,0.144240062773542,0.122027960603924,-0.0257619399074256,-0.0730056859185142
"15",71,0.100431342278292,0.289818176014773,0.172007639792924,0.121443066014149,-0.0124074627159689,-0.0627442483271972
"16",76,0.0978793643403941,0.333331557823093,0.213551884996982,0.120598862112766,0.00511472177339978,-0.0480204020110147
"17",81,0.0969191771253338,0.354073700127879,0.228906163549788,0.122746115007999,-0.0270070517625338,-0.0856724757348648
"18",86,0.0964504667073315,0.36795795686731,0.236346296553966,0.123229314854851,-0.0314588670329414,-0.0942369721743661
"19",91,0.0947563707175008,0.397351264626914,0.262936963354976,0.123071196146765,-0.0251730530490628,-0.0914306864492509
"20",96,0.094684029632838,0.405645218059613,0.2640619449423,0.123001040205575,-0.0203682196414943,-0.0901867150695654
"21",101,0.0944200990139815,0.416287189307101,0.268159063980511,0.12353182027323,-0.0255256739253931,-0.0996158692519058
"22",106,0.0943942495787395,0.423935813124862,0.268559722008413,0.124084997425071,-0.0310301196958291,-0.109486108703552
"23",111,0.0940509878495121,0.435393728037977,0.27386976879111,0.123667889175984,-0.0204342959292914,-0.102039632275222
"24",116,0.0935354922020056,0.448762320866901,0.281807827970193,0.125209071337923,-0.0422585179609896,-0.12967861057377
"25",121,0.0929977828663575,0.462195738584076,0.290041464427127,0.125908983243796,-0.0501330706844916,-0.142343594307731
"26",126,0.0916088373691251,0.485043167950992,0.311089921736045,0.126180229230503,-0.0508357649250275,-0.147270802347135
"27",131,0.0918729411380143,0.489012462986332,0.307112008234184,0.126736337972781,-0.0562581907597381,-0.15740572218483
"28",136,0.0899291066971886,0.517058603532525,0.336121881990992,0.126990697814846,-0.0566261612201364,-0.162056211055748
